,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
160,한국원자력의학원 본사,24시간 이용가능,급속,2,0,0,서울특별시 노원구 노원로75 ,1661-9408,무료,급속(200kW동시),"최초30분 1500원, 10분당 500원  "
161,한국장애인개발원 본사,09:00~19:00 토요일 무료개방,급속,1,0,0,서울특별시 영등포구 의사당대로 22 ,1661-9408,무료,급속(100kW멀티),30분 무료 이후 10분당1000원 
162,한남동 공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 용산구 이태원로 224-19  지하3층 05,1661-9408,유료,급속(50kW),주차요금 별도 
163,해누리타운,24시간 이용가능,급속,2,0,0,서울특별시 양천구 목동동로81 ,1661-9408,무료,급속(200kW동시),충전차량 1시간 무료 이후 50%감면  
164,해맞이공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 양천구 지양로 47 (지양로 47),1661-9408,유료,급속(50kW),없음 
165,현대남부서비스센터,24시간 이용가능,급속,0,1,0,서울특별시 동작구 대방동 70-5  ,1661-9408,유료,급속(50kW),없음 
166,현대자동차 수색대리점,24시간 이용가능,급속,0,1,0,서울특별시 은평구 수색로 342-1 ,1661-9408,유료,급속(50kW),없음 
167,현대차 남부서비스센터,24시간 이용가능,급속,1,0,0,"서울특별시 동작구 노량진로 53 , 현대자동차 남부서비스센터 본관 후문 주차장(대방동 70-1)",1661-9408,유료,급속(50kW),없음 
168,홈플러스 가양점,10:00~24:00,급속,1,0,0,"서울특별시 강서구 양천로 431 , 지하주차장 1층(가양동 18-24)",1661-9408,유료,급속(50kW),없음 
169,홈플러스 강서점,10:00~24:00,급속,1,0,0,서울특별시 강서구 화곡로 398  지하1층 01,1661-9408,유료,급속(50kW),주차요금 별도 
170,홈플러스 금천점,10:00~23:00,급속,2,0,0,서울특별시 금천구 시흥대로 391 ,1661-9408,유료,급속(200kW동시),없음 
171,홈플러스 면목점,10:00~24:00,급속,0,0,1,"서울특별시 중랑구 사가정로 332 , 지상주차장 4층 406구역(면목동 168-2)",1661-9408,유료,급속(50kW),없음 
172,홈플러스 목동점,10:00~24:00,급속,1,0,0,"서울특별시 양천구 목동서로 170 , 지상주차장 2층 01구역(목동 919-7)",1661-9408,유료,급속(50kW),없음 
173,홈플러스 상봉점,10:00~24:00,급속,1,0,0,서울특별시 중랑구 망우로 353  지하3층 05,1661-9408,유료,급속(50kW),주차요금 별도 
174,홈플러스 시흥점,10:00~24:00,급속,0,0,1,"서울특별시 금천구 시흥대로 201 , 지상주차장 4층 28구역(시흥동 992-47)",1661-9408,유료,급속(50kW),"주차비 30분 무료, 전기차 충전기 무료 "
175,홈플러스 신내점,10:00~24:00,급속,1,0,0,서울특별시 중랑구 신내로 201  5층 H01,1661-9408,유료,급속(50kW),주차요금 별도 
176,홈플러스 신도림점,10:00~24:00,급속,1,0,0,서울특별시 구로구 경인로 661  지하2층 L,1661-9408,유료,급속(50kW),주차요금 별도 
177,홈플러스 영등포점,10:00~24:00,급속,1,0,0,서울특별시 영등포구 당산로 42  지하2층 D1,1661-9408,유료,급속(50kW),주차요금 별도 
178,홈플러스 월곡점,10:00~24:00,급속,1,0,0,"서울특별시 성북구 화랑로 76 , 지하주차장 3층 98구역(하월곡동 46-73)",1661-9408,유료,급속(50kW),없음 
179,홈플러스 월드컵점,08:00~24:00,급속,0,1,0,"서울특별시 마포구 월드컵로 240 , 지상주차장 1층(성산동 529-16)",1661-9408,유료,급속(50kW),없음 
180,홈플러스 중계점,10:00~24:00,급속,1,0,0,서울특별시 노원구 동일로204가길 12  5층 출구앞,1661-9408,유료,급속(50kW),주차요금 별도 
181,홍제견인차량보관소 주차장,24시간 이용가능,급속,2,0,0,서울특별시 서대문구 홍제내길 227  입구 좌측편,1661-9408,유료,급속(50kW),주차요금 별도 
182,화곡6-1 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강서구 우장산로 114  2층 24,1661-9408,유료,급속(50kW),주차요금 별도 
183,kbs 부산방송총국,24시간 이용가능,급속,3,0,0,부산광역시 수영구 수영로 429 ,1661-9408,유료,"급속(100kW멀티), 급속(200kW동시)",없음 
184,국립부산과학관,24시간 이용가능,급속,2,0,0,부산광역시 기장군 기장읍 석산리 293 ,1661-9408,무료,급속(100kW동시),50% 감면 
185,기장군청,24시간 이용가능,급속,1,0,0,부산광역시 기장군 기장읍 기장대로 560 (기장대로 560),1661-9408,유료,급속(50kW),없음 
186,기장시장 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 기장군 대라리 70-1 ,1661-9408,유료,급속(100kW멀티),없음 
187,기장현대드림볼파크,24시간 이용가능,급속,3,0,0,부산광역시 기장군 일광면 동백리 409 ,1661-9408,유료,"급속(100kW멀티), 급속(200kW동시)",없음 
188,김해공항,24시간 이용가능,급속,2,0,0,부산광역시 강서구 공항진입로 108 ,1661-9408,유료,급속(50kW),주차요금 별도 
189,남산역 공영주차장,24시간 이용가능,급속,1,0,0,"부산광역시 금정구 중앙대로 2030 , 주차장 입구 정면(남산동 893-8)",1661-9408,유료,급속(50kW),주차비 10분 500원(친환경차 50% 감면) 
190,덕천 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 북구 덕천동 457-1 ,1661-9408,유료,급속(100kW멀티),없음 
191,동래역 공영주차장 ,24시간 이용가능,급속,1,0,0,부산광역시 동래구 중앙대로 1324 ,1661-9408,유료,급속(50kW),주차요금 별도 
192,동원 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 북구 만덕동 934 ,1661-9408,유료,급속(100kW멀티),없음 
193,롯데마트 광복점,10:00~23:00,급속,1,0,0,부산광역시 중구 중앙대로2 (중앙동7가) ,1661-9408,유료,급속(50kW),없음 
194,롯데마트 동래점,10:00~23:00,급속,1,0,0,부산광역시 동래구 중앙대로 1393 (온천동) ,1661-9408,유료,급속(50kW),없음 
195,롯데마트 부산점,10:00~23:00,급속,1,0,0,부산광역시 부산진구 신천대로 241 ,1661-9408,유료,급속(100kW멀티),없음 
196,롯데마트 사상점,10:00~23:00,급속,1,0,0,부산광역시 사상구 낙동대로 733 (엄궁동) ,1661-9408,유료,급속(50kW),없음 
197,롯데마트 사하점,10:00~23:00,급속,1,0,0,"부산광역시 사하구 을숙도대로 610 , 지상주차장 4층(장림동 1033-2)",1661-9408,유료,급속(50kW),없음 
198,롯데마트 화명점,10:00~23:00,급속,1,0,0,부산광역시 북구 화명대로 47(화명동) ,1661-9408,유료,급속(100kW멀티),없음 
199,망미동 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 수영구 망미동 979-73 ,1661-9408,유료,급속(50kW),주차요금 별도 
200,명장동 공영주차장 ,24시간 이용가능,급속,0,1,0,부산광역시 동래구 명장동 538 ,1661-9408,무료,급속(100kW멀티),없음 
201,부산 어린이 대공원,24시간 이용가능,급속,1,0,0,부산광역시 부산진구 성지곡로 3 ,1661-9408,유료,급속(50kW),없음 
202,부산도시공사,24시간 이용가능,급속,2,0,0,부산광역시 부산진구 신천대로 156 ,1661-9408,무료,급속(200kW동시),1시간 무료 
203,부산시 교육청,24시간 이용가능,급속,1,0,0,부산광역시 부산진구 화지로 12 ,1661-9408,유료,급속(50kW),없음 
204,부산시민공원 지하 주차장,24시간 이용가능,급속,1,0,0,부산광역시 부산진구 시민공원로 73 ,1661-9408,유료,급속(50kW),주차요금 별도 
205,부산아시아드보조경기장VIP주차장,05:00~24:00,급속,3,1,2,부산광역시 연제구 거제동 1312 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
206,부산조선해양기자재공업협동조합,24시간 이용가능,급속,0,1,0,부산광역시 강서구 미음산단로295번길 10 ,1661-9408,유료,급속(100kW멀티),없음 
207,부산지방경찰청 앞 민원인 주차장,24시간 이용가능,급속,0,1,0,부산광역시 연제구 중앙대로 999 ,1661-9408,유료,급속(50kW),주차요금 별도 
208,부산진구청 지하1층 주차장,24시간 이용가능,급속,1,0,0,부산광역시 부산진구 시민공원로 30  출구쪽,1661-9408,유료,급속(50kW),주차요금 별도 
209,부산테크노파크 종합물류경영기술지원센터,24시간 이용가능,급속,1,0,0,부산광역시 영도구 해양로 435-1  한국조선해양기자재연구원옆,1661-9408,유료,급속(50kW),주차요금 별도 
210,부산환경공단 명지사업소,24시간 이용가능,급속,1,0,0,"부산광역시 강서구 명지오션시티13로 12-11 , 주차장 입구 왼쪽(명지동 3226-1)",1661-9408,유료,급속(50kW),없음 
211,부전역 공영주차장,07:00~18:00,급속,1,1,0,부산광역시 부산진구 부전1동 46 ,1661-9408,무료,급속(100kW동시),"기본 10분 700원 1시간 무료, 후 50%감면 "
212,사하경찰서,월~금09:00~18:00,급속,1,0,0,부산광역시 사하구 을숙도대로 665 ,1661-9408,유료,급속(100kW멀티),없음 
213,삼락재첩거리,24시간 이용가능,급속,1,0,0,부산광역시 사상구 낙동대로 1518번길 26 ,1661-9408,유료,급속(50kW),주차요금 별도 
214,수변공원,24시간 이용가능,급속,0,1,0,부산광역시 수영구 민락수변로 95 ,1661-9408,유료,급속(50kW),주차요금 별도 
215,암남동주민센터,24시간 이용가능,급속,0,1,0,부산광역시 서구 암남동 89-1 ,1661-9408,무료,급속(100kW멀티),없음 
216,엄궁초등학교지하 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 사상구 엄궁로191번길 23(엄궁동) ,1661-9408,유료,급속(100kW멀티),없음 
217,영도구청,24시간 이용가능,급속,2,0,0,부산광역시 영도구 태종로 423 ,1661-9408,유료,급속(200kW동시),없음 
218,온천장역 공영주차장,24시간 이용가능,급속,1,0,0,"부산광역시 금정구 오시게로 20 , 주차장 출구 오른쪽(온천동 156-14)",1661-9408,유료,급속(50kW),주차비 10분 150원(친환경차 50% 감면) 
219,용두산 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 중구 대청로 116번길 3 ,1661-9408,유료,급속(50kW),주차요금 별도 
220,이마트 금정점,10:00~24:00,급속,0,1,0,"부산광역시 금정구 중앙대로1841번길 24 , 지상주차장 3층 73구역(구서동 368)",1661-9408,유료,급속(50kW),없음 
221,이마트 문현점,10:00~24:00,급속,1,0,0,"부산광역시 남구 전포대로91번길 47 , 지상주차장 4층 A구역(문현동 751)",1661-9408,유료,급속(50kW),없음 
222,이마트 연제점,10:00~24:00,급속,1,0,0,"부산광역시 연제구 연수로 89 , 지하주차장 1층 E구역(연산동 822-7)",1661-9408,유료,급속(50kW),없음 
223,이마트 해운대점,10:00~24:00,급속,1,0,0,"부산광역시 해운대구 좌동순환로 511 , 지상주차장 4층 F구역(중동 1767)",1661-9408,유료,급속(50kW),없음 
224,장안읍사무소,24시간 이용가능,급속,1,0,0,부산광역시 기장군 장안읍 좌방길 5 ,1661-9408,유료,급속(50kW),없음 
225,장안천야구장,24시간 이용가능,급속,1,0,0,부산광역시 기장군 장안읍 고무로 294 ,1661-9408,유료,급속(100kW멀티),없음 
226,장안휴게소(울산방향),24시간 이용가능,급속,0,1,0,"부산광역시 기장군 장안읍 동해고속도로 26 , 휴게소와 LPG충전소 사이(명례리 산78-1)",1661-9408,유료,급속(50kW),없음 
227,장전역 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 금정구 장전1동 242 ,1661-9408,유료,급속(50kW),주차요금 별도 
228,정관노인복지관,24시간 이용가능,급속,2,0,0,부산광역시 기장군 정관읍 정관중앙로 83-14 ,1661-9408,유료,급속(200kW동시),없음 
229,정관보건지소,24시간 이용가능,급속,2,0,0,부산광역시 기장군 정관읍 용수로 11 ,1661-9408,유료,급속(200kW동시),없음 
230,정관읍사무소,24시간 이용가능,급속,0,1,0,"부산광역시 기장군 정관읍 용수로 4, 입구 우측 ",1661-9408,유료,급속(50kW),없음 
231,종합사회복지관,24시간 이용가능,급속,1,0,0,부산광역시 기장군 기장읍 차성로 206 ,1661-9408,유료,급속(100kW멀티),없음 
232,중동역 공영주차장,24시간 이용가능,급속,1,0,0,부산광역시 해운대구 해운대로 731 ,1661-9408,유료,급속(50kW),주차요금 별도 
233,철마면사무소,24시간 이용가능,급속,0,1,0,부산광역시 기장군 철마면 철마면 485 ,1661-9408,유료,급속(50kW),없음 
234,철마체육시설,24시간 이용가능,급속,1,0,0,부산광역시 기장군 철마면 철마로 543 ,1661-9408,유료,급속(100kW멀티),없음 
235,하단역 공영주차장,24시간 이용가능,급속,1,0,0,"부산광역시 사하구 하신중앙로 313 , 주차장 출구 오른쪽(하단1동 599)",1661-9408,유료,급속(50kW),주차비 10분 300원 
236,학장천 공영주차장,24시간 이용가능,급속,1,0,0,"부산광역시 사상구 가야대로 309 , 주차장 입구 정면(주례동 1233-7)",1661-9408,유료,급속(50kW),주차비 10분 200원 
237,한국공항공사 부산지역본부 김해공항 옥외주차장,24시간 이용가능,급속,1,3,0,부산광역시 강서구 공항진입로 108 ,1661-9408,무료,급속(200kW동시),1시간 - 1000원(전기차 50%감면) 전기차충전기 60분이내 무료 
238,한국공항공사 부산지역본부 김해공항 주차빌딩,24시간 이용가능,급속,3,1,0,부산광역시 강서구 대저2동 2764 ,1661-9408,무료,급속(200kW동시),1시간 - 1000원(전기차 50%감면) 전기차충전기 60분이내 무료 
239,한국마사회 부산경남지역본부,24시간 이용가능,급속,1,0,0,부산광역시 강서구 가락대로 929 ,1661-9408,유료,급속(50kW),없음 
240,한국수력원자력 고리원자력본부,24시간 이용가능,급속,2,0,0,부산광역시 기장군 장안읍 길천리 300 ,1661-9408,무료,급속(200kW동시),없음 
241,홈플러스 아시아드점,09:00~24:00,급속,1,0,0,"부산광역시 연제구 종합운동장로 7 , 지하주차장 1층 35구역(거제동 1208)",1661-9408,유료,급속(50kW),없음 
242,홈플러스 영도점,09:00~24:00,급속,1,0,0,"부산광역시 영도구 대교로14번길 57 , 지상주차장 3층 410구역(봉래동2가 151-1)",1661-9408,유료,급속(50kW),없음 
243,SW융합기술지원센터,24시간 이용가능,급속,1,0,0,"대구광역시 수성구 알파시티1로 170, 지하주차장 B01 ",1661-9408,유료,급속(50kW),없음 
244,㈜정방,24시간 이용가능,급속,1,0,0,대구광역시 달성군 가창면 가창로607-2 ,1661-9408,유료,급속(50kW),없음 
245,강당골 공영주차장,24시간 이용가능,급속,0,1,0,대구광역시 남구 봉덕동 1272-18 ,1661-9408,유료,급속(50kW),주차요금 별도 
246,계명문화대학교,24시간 이용가능,급속,1,0,0,"대구광역시 달서구 달서대로 675, 학생전용주차장 옥상층 ",1661-9408,유료,급속(50kW),없음 
247,구지면사무소,24시간 이용가능,급속,1,0,0,대구광역시 달성군 구지면 창리로 11길 38  ,1661-9408,유료,급속(50kW),없음 
248,국가물산업클러스터 주차장,24시간 이용가능,급속,7,1,0,대구광역시 달성군 구지면 국가산단대로40길 20 ,053-601-6011,무료,급속(100kW동시),없음 
249,낙동강 레포츠밸리,24시간 이용가능,급속,1,0,0,대구광역시 달성군 구지면 오설리 756 ,1661-9408,유료,급속(100kW멀티),없음 
250,낙동강승전기념관,24시간 이용가능,급속,1,0,0,대구광역시 남구 앞산순환로 574-110 ,1661-9408,유료,급속(50kW),없음 
